年度,計畫完整中文名稱,label
103,整合碳足跡排放係數建置方法與基線之研究(1/4),能源
103,碳資訊揭露服務計畫(3/5),能源
103,環保創新科技研發計畫(1/1),能源
103,永續綠建築與節能減碳科技中程個案計畫(4/4),能源
103,能源國家型科技計畫-教育部能源國家型科技人才培育計畫(1/4),能源
103,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(1/3),能源
103,能源國家型科技計畫-能源產業技術發展綱要計畫(4/4),能源
103,加強民間工業基礎技術及南部產業高值化技術發展暨民生化學計量標準計畫(2/4),能源
103,石化產業高値化系統技術與應用發展計畫(1/4),能源
103,區域創新走廊產業科技發展綱要計畫(3/4),能源
103,能源國家型科技計畫-產業溫室氣體減量推動計畫(1/4),能源
103,智慧電動車產業推動計畫(4/4),能源
103,能源國家型科技計畫-再生能源產業推動計畫(2/4),能源
103,產業永續發展計畫(2/4),能源
103,製造業產品碳足跡輔導與推廣計畫(4/4),能源
103,產業園區能資源整合及工業安全推動計畫(2/4),能源
103,綠色工廠與資源再生綠色產品推動計畫(3/4),能源
103,產業綠色成長推動計畫(2/4),能源
103,新世代化學應用材料產業輔導與推廣計畫(3/4),能源
103,材料與化工產業發展計畫(2/4),能源
103,能源國家型科技計畫--能源科技產品標準檢測驗證計畫(2/4),能源
103,服務業能源管理與技術輔導計畫(1/4),能源
103,能源國家型科技計畫–臺灣西南海域天然氣水合物資源地質精查及南部海域天然氣水合物賦存潛能調查(3/4),能源
103,提升中小企業節能減碳能力輔導計畫(1/4),能源
103,開發蛇紋石多元化工業材料之應用研究(3/4),能源
103,能源國家型科技計畫-智慧型運輸系統(ITS)創新科技發展與應用(4/4),能源
103,能源國家型科技計畫-運輸部門因應氣候變遷之政策評估決策支援系統(5/5),能源
103,新竹科學工業園區－業務推展(1/4),能源
103,南科綠能低碳產業聚落推動計畫(2/4),能源
103,十二年一貫綠色科技明日典範學校(2/4),能源
103,中部科學工業園區業務推展(1/1),能源
103,國立科學工業園區實驗高級中學綠能科技教學拓展計畫(1/1),能源
103,能源國家型科技計畫能源主軸與產業需求科技研究(1/5),能源
103,能源國家型科技計畫-核電能源系統生命週期之放射性廢棄物管理技術發展與應用(4/4),能源
103,能源國家型科技計畫-核電營運安全領域關鍵技術發展綱要計畫(1/4),能源
103,能源國家型科技計畫-太陽光電技術發展與應用(1/4),能源
103,能源國家型科技計畫-高效率固態氧化物燃料電池技術開發暨產業化平台建構(1/4),能源
103,能源國家型科技計畫-碳基能源永續潔淨利用技術發展(1/4),能源
103,能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(1/4),能源
103,能源國家型科技計畫-我國能源科技及產業政策評估能力建置(3/4),能源
103,能源國家型科技計畫-風能系統工程技術開發與研究(1/4),能源
103,依法執行核設施清理作業(1/4),能源
103,核能安全管制技術發展研究(3/4),能源
103,原子能科技學術合作研究計畫(1/1),能源
103,精進放射性物料安全管制技術發展(3/4),能源
103,核設施除役之輻射安全與人員生物劑量評估技術研究(2/4),能源
103,經建政策議題研究計畫(1/1),能源
103,能源國家型科技計畫-新及再生能源技術研發(1/1),能源
103,能源國家型科技計畫-節約能源技術研發(1/1),能源
103,再生能源發展與推廣計畫(1/1),能源
103,能源效率管理與節能技術推廣輔導計畫(1/1),能源
104,產品碳足跡揭露服務計畫(碳足跡雲)(1/4),能源
104,環保創新科技研發計畫(1/1),能源
104,創新低碳綠建築環境科技計畫(1/4),能源
104,能源科技人才培育計畫(2/4),能源
104,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(2/3),能源
104,石化產業高値化系統技術與應用發展計畫(2/4),能源
104,奈米材料產業技術發展綱要計畫(1/4),能源
104,能源國家型科技計畫-能源產業技術發展綱要計畫(2/5),能源
104,加強民間工業基礎技術及南部產業高值化技術發展暨民生化學計量標準計畫(3/4),能源
104,材料與化工產業發展計畫(3/4),能源
104,能源國家型科技計畫-再生能源產業推動計畫(3/4),能源
104,能源國家型科技計畫-產業溫室氣體減量推動計畫(2/4),能源
104,產業園區能資源整合及工業安全推動計畫(3/4),能源
104,製造業產品環境足跡與資源永續推動計畫(1/4),能源
104,產業綠色成長推動計畫(3/4),能源
104,綠色工廠與資源再生綠色產品推動計畫(4/4),能源
104,智慧電動車輛產業推動計畫(1/4),能源
104,產業永續發展計畫(3/4),能源
104,新世代化學應用材料產業輔導與推廣計畫(4/4),能源
104,能源國家型科技計畫--能源科技產品標準檢測驗證計畫(3/4),能源
104,服務業能源管理與技術輔導計畫(2/4),能源
104,能源國家型科技計畫–臺灣西南海域天然氣水合物資源地質精查及南部海域天然氣水合物賦存潛能調查(4/4),能源
104,提升中小企業節能減碳能力輔導計畫(2/4),能源
104,開發蛇紋石多元化工業材料之應用研究(4/4),能源
104,低碳運輸系統發展計畫(1/4),能源
104,軍民通用之高功率模組產業及應用生根計畫(1/4),能源
104,新竹科學工業園區－業務推展(1/1),能源
104,南科綠能低碳產業聚落推動計畫(3/4),能源
104,十二年一貫綠色科技明日典範學校(3/4),能源
104,中部科學工業園區業務推展(1/1),能源
104,國立科學工業園區實驗高級中學綠能科技教學拓展計畫(2/2),能源
104,國家型科技計畫辦公室維運計畫(1/1),能源
104,能源國家型科技計畫-能源主軸與產業需求科技研究(2/5),能源
104,能源國家型科技計畫-太陽光電技術發展與應用(2/5),能源
104,核電營運安全領域關鍵技術發展綱要計畫(2/4),能源
104,能源國家型科技計畫-高效率固態氧化物燃料電池技術開發暨產業化平台建構(2/5),能源
104,能源國家型科技計畫-碳基能源永續潔淨利用技術發展(2/5),能源
104,能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(2/5),能源
104,能源國家型科技計畫-我國能源科技及產業政策評估能力建置(4/4),能源
104,依法執行核設施清理作業(2/4),能源
104,能源國家型科技計畫-風能系統工程技術開發與研究(2/5),能源
104,核設施除役產生放射性廢棄物處理與處置技術研發(1/4),能源
104,精進放射性物料安全管制技術發展(4/4),能源
104,核能安全管制技術發展研究(4/4),能源
104,核能技術及後端處置之安全強化研究(1/4),能源
104,核設施除役之輻射安全與人員生物劑量評估技術研究(3/4),能源
104,輻射事故緊急應變管制技術發展(4/4),能源
104,原子能科技學術合作研究計畫(1/1),能源
104,能源國家型科技計畫—新及再生能源技術研發(1/4),能源
104,104年度「學界及業界能源科技研究發展計畫」(1/1),能源
104,104年度「再生能源發展與推廣計畫」(1/1),能源
104,能源國家型科技計畫—節約能源技術研發(1/4),能源
104,104年度「能源效率管理與節能技術推廣輔導計畫」(1/1),能源
104,虛擬電廠低碳能源調度決策技術發展與研究(1/1),能源
105,產品碳足跡揭露服務計畫(碳足跡雲)(2/4),能源
105,創新低碳綠建築環境科技計畫(2/4),能源
105,能源科技人才培育計畫(3/4),能源
105,能源國家型科技計畫-能源產業技術發展綱要計畫(3/5),能源
105,加強(民間工業基礎技術及)南部產業高值化技術發展暨民生化學計量標準綱要計畫(4/4),能源
105,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(3/3),能源
105,奈米材料產業技術發展綱要計畫(2/4),能源
105,石化產業高値化系統技術與應用發展計畫(3/4),能源
105,能源國家型科技計畫-產業溫室氣體減量推動計畫(3/4),能源
105,能源國家型科技計畫-再生能源產業推動計畫(4/4),能源
105,材料與化工產業發展計畫(4/4),能源
105,智慧電動車輛產業推動計畫(2/4),能源
105,產業綠色成長推動計畫(4/4),能源
105,產業園區能資源整合及工業安全推動計畫(4/4),能源
105,製造業產品環境足跡與資源永續推動計畫(2/4),能源
105,產業永續發展計畫(4/4),能源
105,綠色工廠與資源再生綠色產品推動計畫(1/4),能源
105,新世代化學材料產業輔導與推廣計畫(1/4),能源
105,能源國家型科技計畫-能源科技產品標準檢測驗證計畫(4/4),能源
105,服務業能源管理與技術輔導計畫(1/2),能源
105,臺灣東北海域礦產資源潛能調查(1/4),能源
105,提升中小企業節能減碳能力輔導計畫(3/4),能源
105,低碳排放之無機聚合綠色水泥及混凝土製備研究(1/4),能源
105,能源國家型科技計畫(2/4)-低碳運輸系統發展計畫,能源
105,中部科學工業園區業務推展(1/1),能源
105,南科綠能低碳產業聚落推動計畫(4/4),能源
105,十二年一貫綠色科技明日典範學校(4/4),能源
105,自然科學研究發展(1/1),能源
105,國家型科技計畫辦公室維運計畫(1/1),能源
105,能源國家型科技計畫-能源主軸與產業需求科技研究(3/5),能源
105,能源國家型科技計畫—永續能源技術與策略發展應用計畫(1/3),能源
105,核電營運安全領域關鍵技術發展綱要計畫(3/4),能源
105,核設施除役產生放射性廢棄物處理與處置技術研發(2/4),能源
105,放射性廢棄物貯存與處置安全管制技術發展(1/4),能源
105,依法執行核設施清理作業(3/4),能源
105,原子能科技學術合作研究計畫(1/1),能源
105,核設施除役之輻射安全與人員生物劑量評估技術研究(4/4),能源
105,核能電廠安全管制法規與技術研究計畫(1/4),能源
105,核能技術及核電廠除役之安全強化研究(2/4),能源
105,能源國家型科技計畫(2/4)-新及再生能源技術研發,能源
105,能源國家型科技計畫—節約能源技術研發(2/4),能源
105,105年度「學界及業界能源科技研究發展計畫」(1/1),能源
105,105年度「再生能源發展與推廣計畫」(1/1),能源
105,105年度「能源效率管理與節能技術推廣輔導計畫」(1/1),能源
106,深度減碳之研發(1/4),能源
106,深度減碳，邁向永續社會(1/4),能源
106,產品碳足跡揭露服務計畫(碳足跡雲)(3/4),能源
106,創新低碳綠建築環境科技計畫(3/4),能源
106,能源科技人才培育計畫(4/4),能源
106,奈米材料產業技術發展綱要計畫(3/4),能源
106,石化產業高値化系統技術與應用發展計畫(4/4),能源
106,能源國家型科技計畫-能源產業技術發展綱要計畫(4/5),能源
106,電子光電產業科技發展綱要計畫(2/4),能源
106,綠色循環與二氧化碳新碳源創新材料計畫(1/4),能源
106,綠能科技產業推動中心營運計畫(1/1),能源
106,智慧電動車輛產業推動計畫(3/4),能源
106,能源國家型科技計畫-產業溫室氣體減量推動計畫(4/5),能源
106,製造業產品環境足跡與資源永續推動計畫(3/4),能源
106,產業綠色成長推動計畫(1/4),能源
106,產業永續發展計畫(1/4),能源
106,工業減碳領航計畫(1/4),能源
106,產業園區能資源整合及工業安全推動計畫(1/4),能源
106,綠色工廠與資源再生綠色產品推動計畫(2/4),能源
106,材料與化工產業整合發展計畫(1/4),能源
106,新世代化學應用材料產業輔導與推廣計畫(2/4),能源
106,能源國家型科技計畫-再生能源產業推動計畫(1/2),能源
106,推動兩岸標準計量檢驗認證合作計畫(4/4),能源
106,能源國家型計畫-新興能源產品檢測標準與驗證技術計畫(1/2),能源
106,再生能源憑證中心及檢測驗證發展計畫(1/4),能源
106,服務業能源管理與技術輔導計畫(4/4),能源
106,離岸風場區塊開發海域環境建構計畫(1/1),能源
106,沙崙綠能科學城-綠能科技示範場域旗艦計畫(1/4),能源
106,臺灣東北海域礦產資源潛能調查(2/4),能源
106,提升中小企業節能減碳能力輔導計畫(4/4),能源
106,低碳排放之無機聚合綠色水泥及混凝土製備研究(2/4),能源
106,能源國家型科技計畫-低碳運輸系統發展計畫(3/4),能源
106,強化區域合作─推動中南部智慧機械及航太產業升級計畫(1/4),能源
106,綠能科技前瞻研究計畫(1/4),能源
