year,name,label,keyword,ner,tf_idf
103,整合碳足跡排放係數建置方法與基線之研究(1/4),能源,,,"碳足跡, 臺灣, 係數, 本土, 足跡"
103,碳資訊揭露服務計畫(3/5),能源,,,"資訊, 平台, 碳, 環境, 雲端"
103,環保創新科技研發計畫(1/1),能源,,,"環保, 政府, 法規, 環境, 需求"
103,永續綠建築與節能減碳科技中程個案計畫(4/4),能源,,,"建築, 科技, 環境, 生態, 室"
103,能源國家型科技計畫-教育部能源國家型科技人才培育計畫(1/4),能源,,,"能源, 科技, 教育, 知識, 國民"
103,能源國家型科技計畫-大型儲電元件與系統技術開發計畫(1/3),能源,,,"電池, 儲能, 微電網, 鋰電池, 高能量"
103,能源國家型科技計畫-能源產業技術發展綱要計畫(4/4),能源,,,"材料, 製程, 生質, 價值, 車輛"
103,加強民間工業基礎技術及南部產業高值化技術發展暨民生化學計量標準計畫(2/4),能源,,,"基礎, 化學, 標準, 工業, 能量"
103,石化產業高値化系統技術與應用發展計畫(1/4),能源,,,"石化, 關鍵, 製程, 國內, 材料"
103,區域創新走廊產業科技發展綱要計畫(3/4),能源,,,"區域, 策略, 科技, 特色, 核心"
103,能源國家型科技計畫-產業溫室氣體減量推動計畫(1/4),能源,,,"製造業, 量, 碳, 能力, 實質"
103,智慧電動車產業推動計畫(4/4),能源,,,"智慧, 能源, 行政院, 綠色, 行動"
103,能源國家型科技計畫-再生能源產業推動計畫(2/4),能源,,,"能源, 國內, 模組, 風力機, 重點"
103,產業永續發展計畫(2/4),能源,,,"綠色, 資訊, 能力, 環保, 環境"
103,製造業產品碳足跡輔導與推廣計畫(4/4),能源,,,"產品, 碳足跡, 足跡, 模式, 課程"
103,產業園區能資源整合及工業安全推動計畫(2/4),能源,,,"園區, 資源, 區域, 事故, 組織"
103,綠色工廠與資源再生綠色產品推動計畫(3/4),能源,,,"綠色, 工廠, 產品, 資源, 標章"
103,產業綠色成長推動計畫(2/4),能源,,,"綠色, 廠商, 產品, 國際, 價值"
103,新世代化學應用材料產業輔導與推廣計畫(3/4),能源,,,"石化, 藍圖, 項目, 聯盟, 龍"
103,材料與化工產業發展計畫(2/4),能源,,,"材料, 廠商, 環境, 光電, 化工"
103,能源國家型科技計畫--能源科技產品標準檢測驗證計畫(2/4),能源,,,"標準, 產品, 燃料, 能源, 電池"
103,服務業能源管理與技術輔導計畫(1/4),能源,,,"能源, 商圈, 商業, 碳, 氣候"
103,能源國家型科技計畫–臺灣西南海域天然氣水合物資源地質精查及南部海域天然氣水合物賦存潛能調查(3/4),能源,,,"國際, 資料, 區域性, 地球, 天然氣"
103,提升中小企業節能減碳能力輔導計畫(1/4),能源,,,"碳, 能源, 中小企業, 商機, 溫室"
103,開發蛇紋石多元化工業材料之應用研究(3/4),能源,,,"蛇紋石, 碳化矽, 粉體, 效益, 流程"
